"block","treatment","outcome","spec","stat","value","S_perm","sector"
"first_stage","total","","z_obs","F_robust_wald",22.6361570713353,100,"s0"
"first_stage","total","","z_rec","F_robust_wald",10.4916973026099,100,"s0"
"estimates","total","population","unadjusted","coef",0.0455977482707399,100,"s0"
"estimates","total","population","unadjusted","se",0.0398648349407398,100,"s0"
"estimates","total","population","unadjusted","p",0.253611771051744,100,"s0"
"estimates","total","population","unadjusted","F_ivf",22.1240648551298,100,"s0"
"estimates","total","population","unadjusted","N",311,100,"s0"
"estimates","total","population","recentered","coef",-0.0230728977862237,100,"s0"
"estimates","total","population","recentered","se",0.0606179290598337,100,"s0"
"estimates","total","population","recentered","p",0.703747576340569,100,"s0"
"estimates","total","population","recentered","F_ivf",9.58598798087352,100,"s0"
"estimates","total","population","recentered","N",311,100,"s0"
"estimates","total","population","mu_control","coef",-0.0172135487146881,100,"s0"
"estimates","total","population","mu_control","se",0.0554424497059518,100,"s0"
"estimates","total","population","mu_control","p",0.756414614258601,100,"s0"
"estimates","total","population","mu_control","F_ivf",10.8176934735557,100,"s0"
"estimates","total","population","mu_control","N",311,100,"s0"
"estimates","total","mfg_valprod","unadjusted","coef",0.26899801272748,100,"s0"
"estimates","total","mfg_valprod","unadjusted","se",0.136339121045918,100,"s0"
"estimates","total","mfg_valprod","unadjusted","p",0.0494125471185348,100,"s0"
"estimates","total","mfg_valprod","unadjusted","F_ivf",22.4898092126771,100,"s0"
"estimates","total","mfg_valprod","unadjusted","N",310,100,"s0"
"estimates","total","mfg_valprod","recentered","coef",-0.0606131686321836,100,"s0"
"estimates","total","mfg_valprod","recentered","se",0.195940057746256,100,"s0"
"estimates","total","mfg_valprod","recentered","p",0.75727349018646,100,"s0"
"estimates","total","mfg_valprod","recentered","F_ivf",9.56648656682857,100,"s0"
"estimates","total","mfg_valprod","recentered","N",310,100,"s0"
"estimates","total","mfg_valprod","mu_control","coef",-0.0323200078270804,100,"s0"
"estimates","total","mfg_valprod","mu_control","se",0.170789183187007,100,"s0"
"estimates","total","mfg_valprod","mu_control","p",0.850033739937051,100,"s0"
"estimates","total","mfg_valprod","mu_control","F_ivf",10.8262659597998,100,"s0"
"estimates","total","mfg_valprod","mu_control","N",310,100,"s0"
"estimates","total","mfg_wagemass","unadjusted","coef",0.282874845843923,100,"s0"
"estimates","total","mfg_wagemass","unadjusted","se",0.141261359452912,100,"s0"
"estimates","total","mfg_wagemass","unadjusted","p",0.0461344769865603,100,"s0"
"estimates","total","mfg_wagemass","unadjusted","F_ivf",23.5582234766671,100,"s0"
"estimates","total","mfg_wagemass","unadjusted","N",309,100,"s0"
"estimates","total","mfg_wagemass","recentered","coef",-0.0208710162963314,100,"s0"
"estimates","total","mfg_wagemass","recentered","se",0.199286388296641,100,"s0"
"estimates","total","mfg_wagemass","recentered","p",0.916661258153568,100,"s0"
"estimates","total","mfg_wagemass","recentered","F_ivf",9.65954875941148,100,"s0"
"estimates","total","mfg_wagemass","recentered","N",309,100,"s0"
"estimates","total","mfg_wagemass","mu_control","coef",0.0245240123359226,100,"s0"
"estimates","total","mfg_wagemass","mu_control","se",0.170223627682201,100,"s0"
"estimates","total","mfg_wagemass","mu_control","p",0.885543063292163,100,"s0"
"estimates","total","mfg_wagemass","mu_control","F_ivf",11.7266447163577,100,"s0"
"estimates","total","mfg_wagemass","mu_control","N",309,100,"s0"
"estimates","total","placebo_pretrend","unadjusted","coef",0.0739392238896783,100,"s0"
"estimates","total","placebo_pretrend","unadjusted","se",0.0500021624835927,100,"s0"
"estimates","total","placebo_pretrend","unadjusted","p",0.14060130117188,100,"s0"
"estimates","total","placebo_pretrend","unadjusted","F_ivf",19.83424113244,100,"s0"
"estimates","total","placebo_pretrend","unadjusted","N",237,100,"s0"
"estimates","total","placebo_pretrend","recentered","coef",0.087943759624977,100,"s0"
"estimates","total","placebo_pretrend","recentered","se",0.0753102119126753,100,"s0"
"estimates","total","placebo_pretrend","recentered","p",0.244131302874471,100,"s0"
"estimates","total","placebo_pretrend","recentered","F_ivf",8.82235333598361,100,"s0"
"estimates","total","placebo_pretrend","recentered","N",237,100,"s0"
"estimates","total","placebo_pretrend","mu_control","coef",0.0866787171914868,100,"s0"
"estimates","total","placebo_pretrend","mu_control","se",0.071972063247032,100,"s0"
"estimates","total","placebo_pretrend","mu_control","p",0.229718583179711,100,"s0"
"estimates","total","placebo_pretrend","mu_control","F_ivf",10.0259454852493,100,"s0"
"estimates","total","placebo_pretrend","mu_control","N",237,100,"s0"
"first_stage","only_rail","","z_obs","F_robust_wald",14.6092643892473,100,"s0"
"first_stage","only_rail","","z_rec","F_robust_wald",7.36860495270555,100,"s0"
"estimates","only_rail","population","unadjusted","coef",0.0362546164164668,100,"s0"
"estimates","only_rail","population","unadjusted","se",0.0338993583315252,100,"s0"
"estimates","only_rail","population","unadjusted","p",0.285711239564627,100,"s0"
"estimates","only_rail","population","unadjusted","F_ivf",108.62986880693,100,"s0"
"estimates","only_rail","population","unadjusted","N",311,100,"s0"
"estimates","only_rail","population","recentered","coef",-0.0208523125788573,100,"s0"
"estimates","only_rail","population","recentered","se",0.053575567609274,100,"s0"
"estimates","only_rail","population","recentered","p",0.697393723540619,100,"s0"
"estimates","only_rail","population","recentered","F_ivf",30.6890809566086,100,"s0"
"estimates","only_rail","population","recentered","N",311,100,"s0"
"estimates","only_rail","population","mu_control","coef",-0.015377563279427,100,"s0"
"estimates","only_rail","population","mu_control","se",0.0485436858920285,100,"s0"
"estimates","only_rail","population","mu_control","p",0.751632512262033,100,"s0"
"estimates","only_rail","population","mu_control","F_ivf",43.1979172946093,100,"s0"
"estimates","only_rail","population","mu_control","N",311,100,"s0"
"estimates","only_rail","mfg_valprod","unadjusted","coef",0.215443463501369,100,"s0"
"estimates","only_rail","mfg_valprod","unadjusted","se",0.125013854985872,100,"s0"
"estimates","only_rail","mfg_valprod","unadjusted","p",0.0858543887554816,100,"s0"
"estimates","only_rail","mfg_valprod","unadjusted","F_ivf",108.353912810478,100,"s0"
"estimates","only_rail","mfg_valprod","unadjusted","N",310,100,"s0"
"estimates","only_rail","mfg_valprod","recentered","coef",-0.0547230690106035,100,"s0"
"estimates","only_rail","mfg_valprod","recentered","se",0.177394994192993,100,"s0"
"estimates","only_rail","mfg_valprod","recentered","p",0.75793009107726,100,"s0"
"estimates","only_rail","mfg_valprod","recentered","F_ivf",30.5906559366742,100,"s0"
"estimates","only_rail","mfg_valprod","recentered","N",310,100,"s0"
