"outcome","label","spec","n_obs","beta","se","ci_lo","ci_hi","F_classical","F_robust","F_eff","ar_p_at_0","ar_set","ar_bounded","ar_lo","ar_hi","ar_tail_F","ar_tail_cv"
"chg_log_pop_91_60","T9 total pop","IV-LP",311,0.0516394488182799,0.044327256698552,-0.0352403778443438,0.138519275480904,22.9770941901699,23.2752865738175,23.2752865738178,0.232300840594956,"[-0.035, 0.157]",TRUE,-0.0345994051453673,0.157483481612429,23.2752865738178,3.87253804238504
"chg_log_pop_91_60","T9 total pop","IV-H",311,0.0802503332901783,0.0777546680238996,-0.072146015666533,0.23264668224689,6.68690987862398,4.00465929640858,4.00465929640952,0.328739179108036,"[-0.324, 1.836]",TRUE,-0.323894352340046,1.83616471279028,4.00465929640953,3.87253804238504
"chg_log_pop_91_60","T9 total pop","IV-B",311,0.0588062653874148,0.034722066905231,-0.00924773521562803,0.126860265990458,16.5067478796308,15.3179191645211,13.0702573599967,0.260059423814577,"[-0.036, 0.154]",TRUE,-0.0358339492388032,0.153826062764229,15.3179191645223,3.02584712571178
"chg_log_urbpop_91_60","T9 urban pop","IV-LP",286,0.0729980127909911,0.0498336735189428,-0.0246741925234641,0.170670218105446,23.8662417224043,23.0119581532771,23.0119581532785,0.131529321782887,"[-0.023, 0.194]",TRUE,-0.0229655563840152,0.193595502706833,23.0119581532785,3.87537156691183
"chg_log_urbpop_91_60","T9 urban pop","IV-H",286,0.0652169953045674,0.114675317387119,-0.159542496689886,0.289976487299021,3.39232402650162,2.36863745482462,2.3686374548261,0.580180281020718,"(-Inf, Inf)",FALSE,NA,NA,2.3686374548261,3.87537156691183
"chg_log_urbpop_91_60","T9 urban pop","IV-B",286,0.0718010249076712,0.0427877905064006,-0.0120615034629188,0.155663553278261,14.9803008859234,14.1406811739755,12.6374017094,0.251977308212525,"[-0.039, 0.196]",TRUE,-0.0388546785719596,0.195984814823847,14.1406811739773,3.02860479721009
"chg_log_rur_91_60","T9 rural pop","IV-LP",272,0.124013555766898,0.11726499762951,-0.105821616234117,0.353848727767913,12.0589169981595,14.7330554751181,14.7330554751183,0.298636866077065,"[-0.132, 0.406]",TRUE,-0.132252031148998,0.406366962617503,14.7330554751183,3.87719616224616
"chg_log_rur_91_60","T9 rural pop","IV-H",272,0.149110275943188,0.196008306650628,-0.235058945762726,0.533279497649102,5.79280121741617,3.30030740720454,3.30030740720489,0.448684407455826,"(-Inf, Inf)",FALSE,NA,NA,3.30030740720489,3.87719616224616
"chg_log_rur_91_60","T9 rural pop","IV-B",272,0.132571298948202,0.0967049554405858,-0.0569669308418964,0.322109528738301,9.93614263845634,9.94527732196568,8.18873377842243,0.425416794357065,"[-0.152, 0.417]",TRUE,-0.152087864663144,0.417086319385504,9.94527732196658,3.0303816198525
"chg_urbshr_91_60","T9 urban share","IV-LP",311,0.00357191355603229,0.0195092220268935,-0.0346654589830745,0.0418092860951391,22.9770941901699,23.2752865738175,23.2752865738178,0.854779869194259,"[-0.038, 0.046]",TRUE,-0.037876670157647,0.0462296506217518,23.2752865738178,3.87253804238504
"chg_urbshr_91_60","T9 urban share","IV-H",311,-0.0300788797118029,0.0453015556192129,-0.118868297169098,0.0587105377454925,6.68690987862398,4.00465929640858,4.00465929640952,0.460038338468147,"[-2.563, 0.065]",TRUE,-2.56325382245236,0.0650151377470913,4.00465929640953,3.87253804238504
"chg_urbshr_91_60","T9 urban share","IV-B",311,-0.00485736317589587,0.0176137820825534,-0.0393797416892374,0.0296650153374456,16.5067478796308,15.3179191645211,13.0702573599967,0.74929109598104,"[-0.050, 0.041]",TRUE,-0.0501721723237513,0.0407282045764623,15.3179191645223,3.02584712571178
"chg_log_valprod_85_54","T10 mfg value","IV-LP",310,0.303093958956737,0.151430391025784,0.00629584638138247,0.599892071532091,23.3586229600569,23.69477356453,23.6947735645303,0.0416948026602659,"[0.012, 0.668]",TRUE,0.0122069222875241,0.668028891231539,23.6947735645303,3.87264226173045
"chg_log_valprod_85_54","T10 mfg value","IV-H",310,0.52320096361482,0.343049885338677,-0.149164456549582,1.19556638377922,6.85933608724153,4.11554666188616,4.11554666188715,0.0562563241219876,"[-0.017, 14.817]",TRUE,-0.0170299233639509,14.8165720113538,4.11554666188715,3.87264226173045
"chg_log_valprod_85_54","T10 mfg value","IV-B",310,0.358651239188327,0.134947963797003,0.0941580903591857,0.623144388017468,16.8574507413522,15.6657700688213,13.3625001747395,0.0245278801286128,"[0.042, 0.763]",TRUE,0.0419124008014542,0.762751771297727,15.6657700688221,3.02594851927884
"chg_log_massal_85_54","T10 wage mass","IV-LP",309,0.319244306334512,0.156943838093599,0.0116400360755737,0.626848576593451,24.4553434481426,24.6063423246958,24.6063423246962,0.0394770382823271,"[0.017, 0.693]",TRUE,0.0165146306621502,0.693202183582691,24.6063423246962,3.8727471823889
"chg_log_massal_85_54","T10 wage mass","IV-H",309,0.760693989005857,0.401494691705475,-0.026221146720886,1.5476091247326,6.8526119543355,4.12884496869646,4.12884496869734,0.00753877909403472,"[0.223, 19.471]",TRUE,0.222767035710389,19.4709812999805,4.12884496869734,3.8727471823889
"chg_log_massal_85_54","T10 wage mass","IV-B",309,0.427170463307202,0.13857774089854,0.15556308208714,0.698777844527264,17.4207059153943,15.9691545601122,13.7276536568713,0.00317456548328776,"[0.160, 0.821]",TRUE,0.160140070760373,0.820939669870755,15.969154560112,3.02605059790794
"chg_log_nestab_85_54","T10 establish.","IV-LP",310,0.065032254533602,0.0810860944224107,-0.093893570181337,0.223958079248541,23.3586229600569,23.69477356453,23.6947735645303,0.418158688741981,"[-0.098, 0.251]",TRUE,-0.0984379601523993,0.251225219673751,23.6947735645303,3.87264226173045
