"panel","outcome","label","label_txt","rung","ols_est","ols_se","ols_p","iv_lp_est","iv_lp_se","iv_lp_p","iv_h_est","iv_h_se","iv_h_p","iv_b_est","iv_b_se","iv_b_p","iv_lp_F","iv_h_F","iv_b_F","n_obs"
"A","chg_log_nestab_85_54","$\Delta \ln$ establishments","establishments","(1) No controls",0.0475440802064307,0.0179422338005315,0.00846869207338153,0.0454206807452559,0.068085026530197,0.505196857522147,0.0747905604656633,0.07164719505243,0.297362832065887,0.0589160275455395,0.0465030493518162,0.20613810593794,20.1015185389075,22.8829563786002,24.1175082887002,310
"A","chg_log_nestab_85_54","$\Delta \ln$ establishments","establishments","(2) + geography",0.0297318166287935,0.0168016546659059,0.0778067758673697,0.0528052211103684,0.0625702176816056,0.399373499121606,0.04476345413331,0.0591251632951407,0.449582319341587,0.0490850814307193,0.0431176510161579,0.255856266598225,26.0328204475534,26.2660401429474,28.1025146148525,310
"A","chg_log_nestab_85_54","$\Delta \ln$ establishments","establishments","(3) + baseline log MA",0.0342718111450523,0.0201261941948183,0.0896291788933995,0.065899119276352,0.0803415289003056,0.41272990564855,0.0893042761604533,0.14146046280385,0.528322168566613,0.0715524896543079,0.0665383947735662,0.28307639858261,23.6480043791827,3.80871196555588,15.4128792774541,310
"A","chg_log_nestab_85_54","$\Delta \ln$ establishments","establishments","(4) + baseline log pop (main)",0.0338050231220638,0.0203617931623438,0.0979153509994505,0.065032254533602,0.0810860944224107,0.423179180239726,0.102723884527155,0.13696438724083,0.453839862969506,0.0745460110502745,0.0671198186056082,0.267612352243181,23.69477356453,4.11554666188616,15.6657700688213,310
"A","chg_log_valprod_85_54","$\Delta \ln$ value of production","value of production","(1) No controls",0.0540676445011521,0.0382836938685182,0.158874421655262,0.319683599082739,0.146511363393457,0.0298671443550584,0.169576754364269,0.121635475993229,0.16428054985994,0.250710081116147,0.0898121001145263,0.00557419484104111,20.1015185389075,22.8829563786002,24.1175082887002,310
"A","chg_log_valprod_85_54","$\Delta \ln$ value of production","value of production","(2) + geography",0.0783143354470998,0.0375418947605444,0.0378128873120023,0.228376172480197,0.117936278724843,0.0537469568292949,0.212864121042146,0.11220836908361,0.0587761112073842,0.221200262231601,0.0816530032870433,0.00713323281309572,26.0328204475534,26.2660401429474,28.1025146148525,310
"A","chg_log_valprod_85_54","$\Delta \ln$ value of production","value of production","(3) + baseline log MA",0.0997524724591405,0.0452915899234906,0.0283914491644804,0.303953022683114,0.150849999835421,0.0448002802167281,0.514190515007065,0.343884975288625,0.135899522615865,0.354734584085515,0.133710238918758,0.00840113433628844,23.6480043791827,3.80871196555588,15.4128792774541,310
"A","chg_log_valprod_85_54","$\Delta \ln$ value of production","value of production","(4) + baseline log pop (main)",0.0991638777007668,0.0454012078190601,0.0297239673452541,0.303093958956737,0.151430391025784,0.0462345415411491,0.52320096361482,0.343049885338677,0.128276326070244,0.358651239188327,0.134947963797003,0.00828922356352054,23.69477356453,4.11554666188616,15.6657700688213,310
"A","chg_log_massal_85_54","$\Delta \ln$ wage mass","wage mass","(1) No controls",0.0462391935734928,0.0368340055512157,0.210310096729759,0.260257222073693,0.14639447225537,0.0764297416325224,0.23624934405187,0.138309722909097,0.0886252639264107,0.249468741802031,0.0944705999773373,0.00869662642789568,20.9958647180741,22.9186768241968,24.6266157774173,309
"A","chg_log_massal_85_54","$\Delta \ln$ wage mass","wage mass","(2) + geography",0.080974455639649,0.0364307663620451,0.0269791893596784,0.219810149393795,0.127608896780693,0.0860007119064864,0.249447170149992,0.128249113057362,0.05270351082603,0.233422193675302,0.0887752392888684,0.00899400762024474,25.540644167512,26.225401883981,27.9241799603552,309
