"theta","V_pesos","V_raster","anchor","tau_p10","tau_p50","tau_p90","dlm_gainshare","dlm_mean","dlm_sd","dlm_median","ols_beta","ols_se","ols_p","ols_F","ivlp_beta","ivlp_se","ivlp_p","ivlp_F","ivh_beta","ivh_se","ivh_p","ivh_F","ivb_beta","ivb_se","ivb_p","ivb_F","n_obs"
4.14,0,0,"raw (V->0)",1573499.85536818,4440412.3767133,10581122.858074,0.91025641025641,1.34511525853061,2.17760157848804,0.538214818491859,0.0282488681329364,0.0138968734287272,0.0429552307854986,NA,0.0516394488182799,0.044327256698552,0.244957886745932,22.9770941901699,0.0802503332901783,0.0777546680238996,0.302855394443489,6.68690987862398,0.0588062653874148,0.034722066905231,0.0913704977110715,16.5067478796308,311
4.14,100,1e+05,"affine",16.7349985536818,45.404123767133,106.81122858074,0.916666666666667,1.24053116870005,1.87687177556764,0.459168564462934,0.0331871794089552,0.0160549318914598,0.0395792261763036,NA,0.103786742047846,0.0595337202653111,0.0822975737086387,14.8025778050985,0.0609327974931589,0.0662067885952458,0.358131780633258,12.6515028928313,0.083921867064937,0.0427100485250995,0.0503428917342374,14.7870166236715,311
4.14,500,5e+05,"affine",4.14699971073636,9.8808247534266,22.162245716148,0.92948717948718,1.01084397786231,1.54262089825165,0.338931452648262,0.033561660865981,0.0209570057181922,0.11032553903057,NA,0.1631634725286,0.0891828297992263,0.06830794849747,10.7036296885786,0.0684106697232106,0.0744659805456325,0.358996705143587,17.9652020657842,0.104262275522366,0.0575730329114365,0.0711443779843097,14.9030145153008,311
4.14,1000,1e+06,"affine",2.57349985536818,5.4404123767133,11.581122858074,0.935897435897436,0.865338394942914,1.34513966923896,0.26970751894723,0.0315847964776255,0.0256115176594188,0.218453560269288,NA,0.190883140234267,0.114578268577968,0.096761114677424,9.58039054190213,0.0742842810678243,0.0852122340287384,0.384036276221417,20.6340353917175,0.111709459999412,0.0693671915450156,0.108357027886551,15.3929173269745,311
4.14,2000,2e+06,"affine",1.78674992768409,3.22020618835665,6.29056142903699,0.94551282051282,0.701392385780027,1.11318436011967,0.21655602647472,0.029474951276906,0.0333535102528137,0.377556113934506,NA,0.213655538201299,0.148160608521514,0.150326910372444,9.33610871300823,0.0839623427409948,0.101983977380497,0.410995153403563,24.7099206652671,0.119596200489844,0.085850471019332,0.164624869205207,17.0068666271773,311
4.14,4400,4400000,"affine",1.35761360349277,2.0091846310712,3.40480064956227,0.955128205128205,0.508798937830017,0.826994672748017,0.156610650408762,0.0270422564666151,0.0491310427485774,0.582445877666507,NA,0.23446686748708,0.206597948360272,0.257322471992493,9.81945458818941,0.107367270836557,0.133459219941676,0.421746126181211,32.0820936516923,0.136620759085955,0.115929832230065,0.239536881413425,20.5642886449833,311
4.14,10000,1e+07,"affine",1.15734998553682,1.44404123767133,2.0581122858074,0.958333333333333,0.327953102242539,0.547260598911615,0.102023779140686,0.0202349759644353,0.0808808932113762,0.802616964724226,NA,0.250817069429999,0.323637464594817,0.438951636267771,10.3929450611468,0.156674736848753,0.197443078086347,0.428100872484077,42.1851534431322,0.17456991013888,0.176587961853407,0.323666599277729,25.5849487566774,311
4.14,20000,2e+07,"affine",1.07867499276841,1.22202061883567,1.5290561429037,0.971153846153846,0.207548475398388,0.355387833566122,0.0681656093360052,0.0025092669236087,0.131719043543568,0.984813723913772,NA,0.252202517267208,0.520329856691488,0.628243552988548,10.4846463878952,0.230245618593722,0.305608672467832,0.451798382676632,51.0057296466739,0.233811333264135,0.278355241033935,0.401589310010689,29.9372470279238,311
4.14,50000,5e+07,"affine",1.03146999710736,1.08880824753427,1.21162245716148,0.987179487179487,0.101416211313535,0.179889908621457,0.0350975449581128,-0.067339796162975,0.272632869214962,0.805078086649645,NA,0.202711528648174,1.09292409825107,0.85298038088743,10.1117800988201,0.41271690458459,0.620512942719899,0.506481661620851,60.7239622611022,0.384119046898944,0.572938265275643,0.50309327749188,34.6855917285301,311
4.14,1e+05,1e+08,"affine",1.01573499855368,1.04440412376713,1.10581122858074,0.990384615384615,0.0552760129299983,0.100137819819087,0.0196614263949133,-0.209765382094704,0.496163197594883,0.672761318215393,NA,0.0813537774965562,2.0333209366682,0.968111440639462,9.74896482895417,0.675652614046626,1.13490267599249,0.55206375428446,66.0161036578717,0.602211712298667,1.05319090219529,0.567886058831077,37.2605802643484,311
