"outcome","label","spec","k_instr","n_obs","beta","se","p","F_classical","F_robust","F_eff","B","ar_set","ar_bounded","ar_lo","ar_hi","ar_status","ar_maxp","ar_p_at_0","robust_J","robust_J_p","sargan_p","cv_tau10","cvcons_tau10","pass_tau10","cv_tau20","cvcons_tau20","pass_tau20"
"chg_college_91_70","college share","IV-LP",1,311,0.00117271068888817,0.000705697722308651,0.0975990098993139,22.9770941901699,23.2752865738175,23.2752865738178,1,"[-0.0003, 0.0027]",TRUE,-0.000323368482406169,0.00271113172352103,"covers 0",0.99999999999962,0.113614051815017,NA,NA,NA,23.1085112116065,23.1085112116065,TRUE,15.0615525357793,15.0615525357793,TRUE
"chg_college_91_70","college share","IV-H",1,311,-0.00242774388672475,0.00197027314062567,0.218841087261203,6.68690987862398,4.00465929640858,4.00465929640952,1,"[-0.1599, 0.0004]",TRUE,-0.159852567822716,0.000448854898588726,"covers 0",0.999999999998541,0.0993368242154912,NA,NA,NA,23.1085112116065,23.1085112116065,FALSE,15.0615525357793,15.0615525357793,FALSE
"chg_college_91_70","college share","IV-B",2,311,0.000270823243413791,0.000671249698315061,0.686895391377511,16.5067478796308,15.3179191645211,13.0702573599967,0.212366102281312,"[-0.0004, 0.0014]",TRUE,-0.00040042645490127,0.0014253727245157,"covers 0",0.0897221281246835,0.07311819419678,4.86103819917083,0.0274698012290545,0.0289751126990486,7.89537019046503,20.0317870537158,TRUE,5.79101978829279,12.7099069888275,TRUE
"chg_secondary_91_70","secondary share","IV-LP",1,311,0.00666990830683962,0.00241014564438866,0.00599991439342923,22.9770941901699,23.2752865738175,23.2752865738178,1,"[0.0022, 0.0126]",TRUE,0.00218703740827672,0.0126470695049235,"excludes 0",0.999999999998763,0.0051104637912667,NA,NA,NA,23.1085112116065,23.1085112116065,TRUE,15.0615525357793,15.0615525357793,TRUE
"chg_secondary_91_70","secondary share","IV-H",1,311,-0.0117263778667074,0.00821871131515533,0.154676788977321,6.68690987862398,4.00465929640858,4.00465929640952,1,"[-0.6984, -0.0002]",TRUE,-0.698399708247935,-0.000220182025489957,"excludes 0",0.999999999999446,0.0465882360844388,NA,NA,NA,23.1085112116065,23.1085112116065,FALSE,15.0615525357793,15.0615525357793,FALSE
"chg_secondary_91_70","secondary share","IV-B",2,311,0.00206177364082362,0.00244246103326339,0.399262803026728,16.5067478796308,15.3179191645211,13.0702573599967,0.231348459812188,"empty",FALSE,NA,NA,"EMPTY (overid)",0.0273778845857627,0.0016871065897936,7.28303863767028,0.0069608689644861,0.007123635906242,8.24274185090295,20.0317870537158,TRUE,5.99441755527727,12.7099069888275,TRUE
"chg_mig5_91_70","recent migration","IV-LP",1,311,-0.00762773303368634,0.0113034968916997,0.500313334348824,22.9770941901699,23.2752865738175,23.2752865738178,1,"[-0.0339, 0.0148]",TRUE,-0.0338518458224297,0.0147531908118792,"covers 0",0.999999999999529,0.494225467699569,NA,NA,NA,23.1085112116065,23.1085112116065,TRUE,15.0615525357793,15.0615525357793,TRUE
"chg_mig5_91_70","recent migration","IV-H",1,311,-0.0745663596923394,0.0348509324179527,0.0331927570259948,6.68690987862398,4.00465929640858,4.00465929640952,1,"[-3.5945, -0.0341]",TRUE,-3.59451053390556,-0.0341392780875143,"excludes 0",0.99999999999984,0.000197776054198148,NA,NA,NA,23.1085112116065,23.1085112116065,FALSE,15.0615525357793,15.0615525357793,FALSE
"chg_mig5_91_70","recent migration","IV-B",2,311,-0.0243953677122889,0.00898494631872936,0.00700736014748542,16.5067478796308,15.3179191645211,13.0702573599967,0.246717892558569,"empty",FALSE,NA,NA,"EMPTY (overid)",0.0378485733665493,0.000314525060682737,6.62026333323649,0.0100824925105229,0.00446901470931726,8.51951612630064,20.0317870537158,TRUE,6.15624491452621,12.7099069888275,TRUE
"chg_empstat_emp_91_70","employment rate","IV-LP",1,311,-0.0136558209287352,0.00652570763066597,0.0372203746594272,22.9770941901699,23.2752865738175,23.2752865738178,1,"[-0.0313, -0.0026]",TRUE,-0.0312752315315333,-0.00256211795660306,"excludes 0",0.999999999999793,0.0153114097197219,NA,NA,NA,23.1085112116065,23.1085112116065,TRUE,15.0615525357793,15.0615525357793,TRUE
"chg_empstat_emp_91_70","employment rate","IV-H",1,311,-0.00904030431615196,0.0124450296052071,0.468146532358681,6.68690987862398,4.00465929640858,4.00465929640952,1,"[-0.3339, 0.0463]",TRUE,-0.333855577012057,0.0463400774270197,"covers 0",0.999999999999665,0.467682755991381,NA,NA,NA,23.1085112116065,23.1085112116065,FALSE,15.0615525357793,15.0615525357793,FALSE
"chg_empstat_emp_91_70","employment rate","IV-B",2,311,-0.0124996678930975,0.00566655642719879,0.0281487155262048,16.5067478796308,15.3179191645211,13.0702573599967,0.199309511853705,"[-0.0318, -0.0006]",TRUE,-0.0317659597455734,-0.000599899395980059,"excludes 0",0.952165847581622,0.0380405839984879,0.0980481183368909,0.754184661773782,0.765746420952741,7.65251147784246,20.0317870537158,TRUE,5.64864482830036,12.7099069888275,TRUE
