"outcome","outcome_lab","spec","spec_lab","ols_est","ols_se","ols_p","iv_lp_est","iv_lp_se","iv_lp_p","iv_h_est","iv_h_se","iv_h_p","iv_b_est","iv_b_se","iv_b_p","iv_lp_F","iv_h_F","iv_b_F","n_obs","population_flagged"
"chg_log_nestab_85_54","Mfg. establishments","C0","both baselines linear (main)",0.0338050231220638,0.0203617931623438,0.0979153509994505,0.065032254533602,0.0810860944224107,0.423179180239726,0.102723884527155,0.13696438724083,0.453839862969506,0.0745460110502745,0.0671198186056082,0.267612352243181,23.69477356453,4.11554666188616,15.6657700688213,310,FALSE
"chg_log_nestab_85_54","Mfg. establishments","C1","quintiles of baseline log MA",0.00276466874479418,0.0213992830249298,0.897291229644432,0.040531643784059,0.0756892983526109,0.59270468717828,-0.0140379819494069,0.116976846651832,0.904559137157346,0.0241341668622497,0.0630179077914875,0.70201362194205,18.5778886418757,7.54087299267847,15.2228480860066,310,FALSE
"chg_log_nestab_85_54","Mfg. establishments","C2","quintiles of baseline log pop",0.0318276710369383,0.0200295020263828,0.113115379933265,0.0588159294512112,0.0772201836013257,0.446864209196104,0.095539355198149,0.137565298860256,0.487910450062135,0.0682723824311415,0.0628121076763455,0.277948948912869,24.4578494417883,3.98357989095972,16.276581154447,310,FALSE
"chg_log_nestab_85_54","Mfg. establishments","C3","quintiles of both (additive)",0.00352417657071607,0.0206876107405097,0.864850460982334,0.0370923535674449,0.0701582527896235,0.597415578977973,-0.0098892631578506,0.116088822124017,0.932170674358954,0.0231748903384072,0.0582294150773061,0.69092430409487,20.10873324382,7.42721897559837,16.331892769192,310,FALSE
"chg_log_valprod_85_54","Mfg. production value","C0","both baselines linear (main)",0.0991638777007668,0.0454012078190601,0.0297239673452541,0.303093958956737,0.151430391025784,0.0462345415411491,0.52320096361482,0.343049885338677,0.128276326070244,0.358651239188327,0.134947963797003,0.00828922356352054,23.69477356453,4.11554666188616,15.6657700688213,310,FALSE
"chg_log_valprod_85_54","Mfg. production value","C1","quintiles of baseline log MA",0.0964804441894989,0.0458151535940478,0.0360554043087967,0.304593579954501,0.155181684270691,0.0506003431206185,0.476065995141405,0.258173892171539,0.0661828393510984,0.356118854921261,0.133256790974149,0.00794648966976009,18.5778886418757,7.54087299267847,15.2228480860066,310,FALSE
"chg_log_valprod_85_54","Mfg. production value","C2","quintiles of baseline log pop",0.105339972196543,0.0454006759845176,0.0210060124715267,0.292791576801171,0.149741916373824,0.0514843062097863,0.481519506292698,0.329696793032066,0.145211948875875,0.341389896673087,0.133178833526355,0.0108577991965325,24.4578494417883,3.98357989095972,16.276581154447,310,FALSE
"chg_log_valprod_85_54","Mfg. production value","C3","quintiles of both (additive)",0.105064649098599,0.045873017024911,0.0227097428484118,0.292151794843031,0.148097180363293,0.0494660769891368,0.459380125969602,0.256199094808491,0.0739912641654227,0.341690195424534,0.128912158302128,0.00847096472911433,20.10873324382,7.42721897559837,16.331892769192,310,FALSE
"chg_log_massal_85_54","Mfg. wage mass","C0","both baselines linear (main)",0.13381955502322,0.0424371179478986,0.00177805798557384,0.319244306334512,0.156943838093599,0.0428208122642404,0.760693989005857,0.401494691705475,0.0591027879058094,0.427170463307202,0.13857774089854,0.00224381504298856,24.6063423246958,4.12884496869646,15.9691545601122,309,FALSE
"chg_log_massal_85_54","Mfg. wage mass","C1","quintiles of baseline log MA",0.120224779525703,0.0426620501188449,0.00515662900718048,0.316001181283422,0.16438079236737,0.0555184259038086,0.60764718247141,0.268659639305236,0.0244367078972315,0.400365479619162,0.137725941240496,0.00392524057578042,19.2950898055477,7.54044899864881,15.5627749434252,309,FALSE
"chg_log_massal_85_54","Mfg. wage mass","C2","quintiles of baseline log pop",0.137178667825491,0.0424472966287325,0.00136918797703737,0.294913026869379,0.149520621048127,0.0494956171291818,0.702702459964065,0.385236978527422,0.0691483636525023,0.396379727068487,0.131841732339604,0.0028694448930661,26.0679593141049,3.98999823216968,17.0750226371146,309,FALSE
