"block","treatment","outcome","spec","stat","value","S_perm","sector"
"first_stage","total","","z_obs","F_robust_wald",22.5326747293375,100,"s1"
"first_stage","total","","z_rec","F_robust_wald",10.5172809735715,100,"s1"
"estimates","total","population","unadjusted","coef",0.0277590126106206,100,"s1"
"estimates","total","population","unadjusted","se",0.0295753479642355,100,"s1"
"estimates","total","population","unadjusted","p",0.348695785646132,100,"s1"
"estimates","total","population","unadjusted","F_ivf",28.7272055129699,100,"s1"
"estimates","total","population","unadjusted","N",311,100,"s1"
"estimates","total","population","recentered","coef",-0.0205036246653001,100,"s1"
"estimates","total","population","recentered","se",0.0418792669026082,100,"s1"
"estimates","total","population","recentered","p",0.624781431698582,100,"s1"
"estimates","total","population","recentered","F_ivf",12.6837310621645,100,"s1"
"estimates","total","population","recentered","N",311,100,"s1"
"estimates","total","population","mu_control","coef",-0.0151871919434485,100,"s1"
"estimates","total","population","mu_control","se",0.0375651027694738,100,"s1"
"estimates","total","population","mu_control","p",0.686287616545251,100,"s1"
"estimates","total","population","mu_control","F_ivf",14.7699329092594,100,"s1"
"estimates","total","population","mu_control","N",311,100,"s1"
"estimates","total","mfg_valprod","unadjusted","coef",0.161951751918007,100,"s1"
"estimates","total","mfg_valprod","unadjusted","se",0.0934793872164773,100,"s1"
"estimates","total","mfg_valprod","unadjusted","p",0.0842147594788308,100,"s1"
"estimates","total","mfg_valprod","unadjusted","F_ivf",29.0518495038802,100,"s1"
"estimates","total","mfg_valprod","unadjusted","N",310,100,"s1"
"estimates","total","mfg_valprod","recentered","coef",-0.0446616999105765,100,"s1"
"estimates","total","mfg_valprod","recentered","se",0.126660833235651,100,"s1"
"estimates","total","mfg_valprod","recentered","p",0.724629482701201,100,"s1"
"estimates","total","mfg_valprod","recentered","F_ivf",12.6284002424511,100,"s1"
"estimates","total","mfg_valprod","recentered","N",310,100,"s1"
"estimates","total","mfg_valprod","mu_control","coef",-0.0218731225275541,100,"s1"
"estimates","total","mfg_valprod","mu_control","se",0.107749401950536,100,"s1"
"estimates","total","mfg_valprod","mu_control","p",0.839273148507529,100,"s1"
"estimates","total","mfg_valprod","mu_control","F_ivf",14.7436089567253,100,"s1"
"estimates","total","mfg_valprod","mu_control","N",310,100,"s1"
"estimates","total","mfg_wagemass","unadjusted","coef",0.177083924523962,100,"s1"
