"theta","outcome","label","ivb_beta","ivb_se","ivb_p","ivb_F","ivb_Feff","ivb_cv10","ivb_pass10","ivb_cv20","ivb_pass20","ivlp_beta","ivlp_se","ivlp_p","ivlp_F","ivlp_Feff","ivlp_cv10","ivlp_pass10","ivlp_cv20","ivlp_pass20","n_obs"
4.14,"chg_log_pop_91_60","population",0.0907312456331351,0.0635628515719927,0.154493830054541,10.7266384686843,8.23605161148145,6.90765218650266,TRUE,5.20810383146453,TRUE,0.185925372549138,0.12730993381597,0.145218952422806,5.39885503508532,4.82969468790657,23.1085112116065,FALSE,15.0615525357793,FALSE,311
4.14,"chg_log_valprod_85_54","mfg value",0.842388805304208,0.288586230374428,0.00377715477582041,10.976551125761,8.42742771906259,6.97968321421054,TRUE,5.25096107193842,TRUE,1.11912448445328,0.555721827029168,0.0449208437902235,5.59607644886549,5.02244212664203,23.1085112116065,FALSE,15.0615525357793,FALSE,310
4.14,"chg_log_massal_85_54","mfg wage mass",1.07769012896652,0.324571464427871,0.00101046839213077,11.4538883489369,8.76991540508896,6.75168137100097,TRUE,5.11500540340992,TRUE,1.1208411373251,0.565786792648087,0.0485037875573608,6.64485544862226,5.89952375825784,23.1085112116065,FALSE,15.0615525357793,FALSE,309
4.14,"chg_log_nestab_85_54","mfg establish.",0.100726891342139,0.131460570673186,0.444151615859573,10.976551125761,8.42742771906259,7.37414539950735,TRUE,5.48237725998997,TRUE,0.163123014155012,0.249771463014895,0.514199038532639,5.59607644886549,5.02244212664203,23.1085112116065,FALSE,15.0615525357793,FALSE,310
4.14,"chg_log_nexp_88_60","ag farms",0.234752828200768,0.148029631971358,0.113874439880028,8.3268193209382,7.02864888587004,10.6560488796446,FALSE,7.43602314215246,FALSE,0.593613648907279,0.487494096401099,0.224344358713055,4.61391571221236,5.22166971315774,23.1085112116065,FALSE,15.0615525357793,FALSE,297
4.14,"chg_log_areatot_ha_88_60","ag farmed area",0.242556345022063,0.175398080650115,0.167773395719152,8.3268193209382,7.02864888587004,11.5131485852313,FALSE,7.9334942435607,FALSE,0.465199859027186,0.478791744404942,0.332061696703357,4.61391571221236,5.22166971315774,23.1085112116065,FALSE,15.0615525357793,FALSE,297
8.22,"chg_log_pop_91_60","population",0.0441950534947452,0.0320306614570739,0.168680503479669,11.0293340825644,8.24629747086031,6.77088826244703,TRUE,5.12603729662374,TRUE,0.0988373358932229,0.0775611184566087,0.203534569624195,3.97763504003032,3.43563923794159,23.1085112116065,FALSE,15.0615525357793,FALSE,311
8.22,"chg_log_valprod_85_54","mfg value",0.434558753397503,0.144881184335787,0.00293168158050847,11.2838467367839,8.43697199771583,6.8850502579089,TRUE,5.19355958619171,TRUE,0.669662803264927,0.367552883381329,0.0694582453233079,4.15176217100107,3.59837918733667,23.1085112116065,FALSE,15.0615525357793,FALSE,310
8.22,"chg_log_massal_85_54","mfg wage mass",0.56040788077895,0.164338384694902,0.000738704968386444,11.6953601472959,8.70359910385229,6.52875553706345,TRUE,4.98248098058404,TRUE,0.656424510394096,0.35872631634544,0.0682640832398909,5.0791944224141,4.35145391610474,23.1085112116065,FALSE,15.0615525357793,FALSE,309
8.22,"chg_log_nestab_85_54","mfg establish.",0.0474636575596141,0.0671230134032385,0.480044207809705,11.2838467367839,8.43697199771583,7.08096721748452,TRUE,5.30844854676381,TRUE,0.0704913617761208,0.149451723252905,0.637507747356823,4.15176217100107,3.59837918733667,23.1085112116065,FALSE,15.0615525357793,FALSE,310
8.22,"chg_log_nexp_88_60","ag farms",0.109188835208793,0.0722175646247129,0.131648689317337,8.07999641562454,6.74804444666014,10.2062236267086,FALSE,7.16286022334848,FALSE,0.36025364944416,0.325389027142611,0.269157226156173,3.28660644661541,3.54038232470897,23.1085112116065,FALSE,15.0615525357793,FALSE,297
8.22,"chg_log_areatot_ha_88_60","ag farmed area",0.123674475230788,0.0898393598685578,0.169703364709352,8.07999641562454,6.74804444666014,11.3681482415208,FALSE,7.83700747782739,FALSE,0.297128540432671,0.323211574319856,0.35871043514286,3.28660644661541,3.54038232470897,23.1085112116065,FALSE,15.0615525357793,FALSE,297
