"part","theta","n_obs","object","spec","beta","se","p","F","outcome","ivb_beta","ivb_se","ivb_p","ivb_F","ivlp_beta","ivlp_se","ivlp_p","ivlp_F","ivlp_Feff","ivlp_cv10","ivlp_pass10","ivlp_cv20","ivlp_pass20"
"decay_ivlp",0.25,297,NA,NA,NA,NA,NA,NA,"ag farms",3.5840683946415,2.4290469260021,0.141173317698301,9.80580029188656,6.03012570380979,4.78689877419879,0.208795803693388,9.16576523146172,10.675483864856,23.1085112116065,FALSE,15.0615525357793,FALSE
"decay_ivlp",0.25,297,NA,NA,NA,NA,NA,NA,"ag farmed area",3.44099093421903,2.63830892960672,0.19319638480237,9.80580029188656,4.34587171200726,4.5433106662831,0.339603038554247,9.16576523146172,10.675483864856,23.1085112116065,FALSE,15.0615525357793,FALSE
"decay_ivlp",0.25,309,NA,NA,NA,NA,NA,NA,"mfg wage mass",15.0050850177625,4.06473907445207,0.000264875293712546,14.4293255641202,12.6002469114282,5.57555733655413,0.0245463695115877,12.3952982072898,13.4310987163007,23.1085112116065,FALSE,15.0615525357793,FALSE
"decay_ivlp",0.25,310,NA,NA,NA,NA,NA,NA,"mfg production value",12.1940162767907,3.71030778989698,0.00113472274977128,13.8022746349642,11.9800270204993,5.26559949977807,0.0236023034582733,11.093202315512,11.7795220967573,23.1085112116065,FALSE,15.0615525357793,FALSE
"decay_ivlp",0.25,310,NA,NA,NA,NA,NA,NA,"mfg establishments",2.08203619049566,1.88484823740388,0.27021055244922,13.8022746349642,2.62545453805918,2.85817320452332,0.359054369015187,11.093202315512,11.7795220967573,23.1085112116065,FALSE,15.0615525357793,FALSE
"decay_ivlp",0.25,311,NA,NA,NA,NA,NA,NA,"population",1.50000960679041,0.887759710397568,0.0921289663442739,13.5414884619478,2.29947248012128,1.43363563633425,0.109774938033015,10.8553343609364,11.5029971804403,23.1085112116065,FALSE,15.0615525357793,FALSE
"decay_ivlp",0.5,297,NA,NA,NA,NA,NA,NA,"ag farms",1.69743173815766,1.15012969494808,0.141077438971546,10.4337612710869,2.64072984673372,2.09280108079853,0.208039524434675,10.580683068714,12.1476438009087,23.1085112116065,FALSE,15.0615525357793,FALSE
"decay_ivlp",0.5,297,NA,NA,NA,NA,NA,NA,"ag farmed area",1.59645260349032,1.2295648368219,0.195196279007877,10.4337612710869,1.87725203041085,1.97303384584783,0.34217425150021,10.580683068714,12.1476438009087,23.1085112116065,FALSE,15.0615525357793,FALSE
"decay_ivlp",0.5,309,NA,NA,NA,NA,NA,NA,"mfg wage mass",6.94150680529216,1.87617602120287,0.000256737980263324,14.8517012118898,5.66451277799912,2.5117339199987,0.0248425167786827,13.7914921467693,15.0519788735492,23.1085112116065,FALSE,15.0615525357793,FALSE
"decay_ivlp",0.5,310,NA,NA,NA,NA,NA,NA,"mfg production value",5.63732826085395,1.72907909968358,0.00124100594095188,14.2113754992021,5.32718892356533,2.39096983254104,0.0266187102395751,12.4820427292091,13.3741138282647,23.1085112116065,FALSE,15.0615525357793,FALSE
