page,n_orden,localidad,tipo_resolucion,propuesta,lat,lon,fuente,fuente_url,nota
v8_p05,21,Villa Krause,manual_coord,Villa Krause (cabecera del depto Rawson),-31.5811,-68.5428,Wikipedia,https://es.wikipedia.org/wiki/Departamento_Rawson_(San_Juan),"Villa Krause es la ciudad cabecera del depto Rawson, hoy conurbada al Gran San Juan; conserva su nombre"
v3_p18,126,Puerto Belgrano,manual_coord,Base Naval Puerto Belgrano (Punta Alta),-38.8869,-62.0978,Wikipedia,https://en.wikipedia.org/wiki/Port_Belgrano_Naval_Base,"Base naval junto a Punta Alta, partido Coronel de Marina L. Rosales"
v9_1_2_p03,32,Kilómetro 8 (Petroquímica),barrio_de,Kilómetro 8 / Don Bosco (barrio de Comodoro Rivadavia),-45.8000,-67.5333,Wikipedia,https://es.wikipedia.org/wiki/Don_Bosco_(Chubut),"Barrio industrial (Petroquímica) a 8 km del centro de Comodoro Rivadavia, depto Escalante"
v3_p11,193,José A. Guisasola,manual_coord,Estación José A. Guisasola,-37.1306,-62.0253,Wikipedia,https://es.wikipedia.org/wiki/Estaci%C3%B3n_Jos%C3%A9_A._Guisasola,"Estación de FC en partido Coronel Dorrego, cercana a El Perdido"
v5_p05,78,Manuel F. Mantilla,rename,Mantilla (ex nombre oficial Pedro R. Fernández),-28.7508,-58.6558,Wikipedia,https://es.wikipedia.org/wiki/Mantilla_(Argentina),"Localidad de San Roque nombrada por la estación Manuel F. Mantilla; nombre oficial Mantilla desde 2023"
v4_p05,285,Chateaubriand,manual_coord,Chateaubriand (paraje/estación),-33.6333,-61.8667,OpenStreetMap Nominatim (reverse) / Globefeed,https://nominatim.openstreetmap.org/reverse?lat=-33.6333&lon=-61.8667&format=json,"Reverse-geocoding confirma que cae en Departamento General López, al NE de Venado Tuerto"
v9_1_2_p01,51,Alejandro Stefanelli,rename,Padre Alejandro Stefenelli,-39.0345,-67.5388,OpenStreetMap Nominatim,https://nominatim.openstreetmap.org/search?q=Padre+Alejandro+Stefenelli+General+Roca+Rio+Negro&format=json,"Localidad/estación al este de la ciudad de General Roca, depto General Roca"
v4_p08,358,J. B. Molina,rename,Juan Bernabé Molina,-33.4936,-60.5092,Wikipedia,https://es.wikipedia.org/wiki/Juan_Bernab%C3%A9_Molina,"Localidad del depto Constitución surgida en torno a la estación J. B. Molina (FC Belgrano)"
v5_p03,124,Fábrica Colón,rename,Pueblo Liebig (ex Fábrica Colón),-32.1531,-58.1911,Wikipedia,https://es.wikipedia.org/wiki/Pueblo_Liebig,"Pueblo nacido alrededor del frigorífico Fábrica Colón (Liebig's), depto Colón"
v7_p03,153,Cnel. Juan Solá Morillo,rename,Coronel Juan Solá (Estación Morillo),-23.4667,-62.8833,Wikipedia,https://es.wikipedia.org/wiki/Coronel_Juan_Sol%C3%A1,"Cabecera de Rivadavia Banda Norte; conocida como Morillo por su estación, depto Rivadavia"
v6_p07,122,Villa Escobar Navegación Río Bermejo,rename,Villa Escolar,-26.6219,-58.6697,Wikipedia,https://es.wikipedia.org/wiki/Villa_Escolar,"Localidad del depto Laishí sobre el río Bermejo; el nombre del censo (Villa Escobar) corresponde a Villa Escolar"
v7_p09,185,San Rafael,manual_coord,San Rafael,-26.9667,-65.3833,dices.net,https://www.dices.net/mapas/argentina/mapa.php?nombre=San-Rafael&id=16024,"Lugar poblado en el área Famaillá/Lules, provincia de Tucumán"
v5_p01,192,Altamirano Sud,rename,Altamirano Sur,-32.0883,-59.1751,Wikipedia,https://es.wikipedia.org/wiki/Altamirano_Sur,"Centro rural del distrito Raíces al Sud, depto Tala (Altamirano Sud = Altamirano Sur)"
