page,n_orden,localidad,tipo_resolucion,propuesta,lat,lon,fuente,fuente_url,nota
v4_p14,23,Reinaldo Cullen,sin_coordenada,,,,wikipedia,https://es.wikipedia.org/wiki/Departamento_La_Capital_(Santa_Fe),"No figura ninguna localidad, comuna ni estacion 'Reinaldo Cullen' en el depto La Capital actual ni en OSM/Georef; pob 1960=11881 sugiere distrito o nombre antiguo absorbido por el aglomerado Santa Fe. Sin coordenada confiable; verificar en fuentes historicas."
v4_p08,92,Humberto 1º,rename,Humberto Primo,-30.8683,-61.3481,wikipedia,https://en.wikipedia.org/wiki/Humberto_Primo,"Humberto 1º = Humberto Primo, comuna del depto Castellanos, Santa Fe. Coincide depto."
v7_p06,47,León Rouges,rename,León Rougés,-27.2158,-65.5333,gazetteer,https://www.mindat.org/feature-3846949.html,"Localidad de León Rougés, depto Monteros, Tucuman. Coincide depto."
v8_p05,46,Zonda,sin_coordenada,,,,osm,https://en.wikipedia.org/wiki/Zonda_Department,"ADVERTENCIA depto: la unica 'Zonda' de San Juan es Villa Basilio Nievas en el depto Zonda (approx -31.54,-68.74), NO en 25 de Mayo ni depto lindante. Probable artefacto de mapeo de depto 1960. No se uso la coordenada por regla de depto; verificar/reasignar."
v7_p08,74,Poso del Alto,rename,Pozo del Alto,-26.9025,-65.1456,gazetteer,https://mapcarta.com/20026742,"Poso del Alto = Pozo del Alto, localidad depto Cruz Alta, Tucuman (cerca de Colombres/Banda del Rio Sali). Coincide depto."
v8_p02,81,La Legua,rename,La Legua,-31.5559,-68.4658,osm,https://nominatim.openstreetmap.org/search?q=La%20Legua%2C%20Santa%20Lucia%2C%20San%20Juan,"La Legua, distrito/localidad del depto Santa Lucia, San Juan. Coincide depto."
v6_p04,80,Laguna Naineck,rename,Laguna Naick Neck,-25.2190,-58.1219,wikipedia,https://es.wikipedia.org/wiki/Laguna_Naick_Neck,"Laguna Naineck = Laguna Naick Neck, depto Pilcomayo, Formosa. Coincide depto."
v9_1_2_p04,54,Playa Bonita,manual_coord,Playa Bonita (Bariloche),-41.1235,-71.4008,osm,https://nominatim.openstreetmap.org/search?q=Playa%20Bonita%2C%20Bariloche,"Barrio/paraje sobre Av. Bustillo (km 8), costa del lago Nahuel Huapi, depto/municipio San Carlos de Bariloche. Coincide depto."
v9_1_2_p02,58,Coronel Gómez,rename,Coronel Juan José Gómez,-39.0194,-67.6364,wikipedia,https://es.wikipedia.org/wiki/Coronel_Juan_Jos%C3%A9_G%C3%B3mez_(R%C3%ADo_Negro),"Coronel Gomez = Coronel Juan Jose Gomez, hoy barrio oeste de General Roca, depto General Roca, Rio Negro. Fue localidad gran parte del s.XX. Coincide depto."
v5_p01,136,Aranguren,rename,Villa Aranguren,-32.2500,-60.1667,wikipedia,https://es.wikipedia.org/wiki/Villa_Aranguren,"Aranguren = Villa Aranguren. Wikipedia la ubica en depto Nogoya (limitrofe con Victoria, depto_1960); coincide con pista. Depto lindante a Victoria."
