page,n_orden,localidad,tipo_resolucion,propuesta,lat,lon,fuente,fuente_url,nota
v4_p14,56,Pueblo Nuevo,barrio_de,"Pueblo Nuevo (barrio de Villa Gobernador Gálvez)",-33.0236,-60.6353,Wikipedia (Villa Gobernador Gálvez),https://es.wikipedia.org/wiki/Villa_Gobernador_G%C3%A1lvez,"Barrio industrial surgido junto al Frigorífico Swift; hoy parte de Villa Gobernador Gálvez, depto Rosario. Coordenada = centro urbano de VGG."
v7_p08,43,Pocitos,rename,Profesor Salvador Mazza,-22.05,-63.7,Wikipedia (Salvador Mazza),https://es.wikipedia.org/wiki/Salvador_Mazza_(Salta),"Pocitos renombrada Prof. Salvador Mazza en 1951; depto Gral José de San Martín. La pista Salar de Pocitos es un homónimo en depto Los Andes (descartado)."
v7_p08,58,Pedro G. Méndes,rename,La Florida (Estación Pedro G. Méndez),-26.8208,-65.0953,Wikipedia (La Florida Tucumán),https://es.wikipedia.org/wiki/La_Florida_(Tucum%C3%A1n),"Estación Pedro G. Méndez del Ingenio La Florida, localidad La Florida, depto Cruz Alta."
v4_p11,198,Los Saladillos,rename,Gregoria Pérez de Denis (Los Saladillos),-28.2333,-61.5333,Wikipedia (Gregoria Pérez de Denis),https://es.wikipedia.org/wiki/Gregoria_P%C3%A9rez_de_Denis_(Santa_Fe),"Comuna del depto 9 de Julio también conocida como Los Saladillos."
v6_p04,65,La Isla,sin_coordenada,,,,dices.net,https://www.dices.net/mapas/argentina/mapa.php?nombre=La-Isla&id=47020,"La única 'La Isla' documentada está en depto Jiménez (homónimo; coincide con la pista Isca Yacu pero lejos del depto objetivo Banda). Posible barrio La Isla en La Banda sin fuente sólida; sin coordenada confiable dentro de Banda."
v4_p17,297,Saturnino M. Laspiur,rename,Saturnino María Laspiur,-31.7039,-62.4825,Wikipedia (Saturnino María Laspiur),https://es.wikipedia.org/wiki/Saturnino_Mar%C3%ADa_Laspiur_(C%C3%B3rdoba),"Localidad del depto San Justo sobre RN 158."
v3_p04,272,Carlos N. Naón,rename,Carlos María Naón,-35.24,-60.8253,Wikipedia (Estación Carlos María Naón),https://es.wikipedia.org/wiki/Estaci%C3%B3n_Carlos_Mar%C3%ADa_Na%C3%B3n,"Localidad/estación en partido 9 de Julio."
v5_p06,115,Puerto Gisela,manual_coord,Colonia Gisela (Municipio General Urquiza),-27.1079,-55.3767,Wikipedia (General Urquiza),https://es.wikipedia.org/wiki/General_Urquiza_(Misiones),"Antiguo puerto/colonia sobre el río Paraná dentro del municipio de General Urquiza (depto San Ignacio). Coordenada = centro de Gral. Urquiza (aprox.; el puerto está unos km al E, sobre el río)."
v7_p10,143,Santa Rosa,manual_coord,Santa Rosa (Tinogasta),-28.033,-67.617,Wikipedia (Santa Rosa Tinogasta),https://es.wikipedia.org/wiki/Santa_Rosa_(Tinogasta),"Comuna a 5 km al norte de Tinogasta, depto Tinogasta."
v4_p02,450,Ascochingas,rename,Ascochinga (paraje distrito Monte Vera),-31.4833,-60.6333,dices.net,https://www.dices.net/mapas/argentina/mapa.php?nombre=Desvio-Ascochinga&id=25412,"Paraje/desvío Ascochinga en el distrito Monte Vera, depto La Capital."
v4_p03,480,Cap. de la Sgrda. Familia,rename,Sagrada Familia,-31.2833,-63.4167,Wikipedia (Sagrada Familia Córdoba),https://es.wikipedia.org/wiki/Sagrada_Familia_(C%C3%B3rdoba),"Comuna Sagrada Familia (ex Capilla de la Sagrada Familia), depto Río Primero."
v5_p08,173,Yabebiry,manual_coord,Colonia Yabebiry,-27.45,-55.3,dices.net,https://www.dices.net/mapas/argentina/mapa.php?nombre=Cerro-Negro&id=32008,"Colonia Yabebiry, depto Oberá. Coordenada aproximada."
v8_p02,137,Ingeniero Balloffet,manual_coord,Ingeniero Balloffet,-34.763,-68.4122,Tripadvisor/GeoNames,https://www.tripadvisor.com/Tourism-g25219062-Ingeniero_Balloffet_San_Rafael_Province_of_Mendoza_Cuyo-Vacations.html,"Localidad del oasis de San Rafael, depto San Rafael. Coordenada aproximada."
v5_p06,202,Pueblo San Martín (Pto. Curtiembre),rename,Puerto Curtiembre (Pueblo General San Martín),-31.4611,-60.1661,Wikipedia (Puerto Curtiembre),https://es.wikipedia.org/wiki/Puerto_Curtiembre,"Comuna del depto Paraná sobre el río Paraná; 'Pueblo San Martín' fue el nombre oficial que nunca reemplazó al popular Puerto Curtiembre."
v3_p13,526,Libres del Sud,manual_coord,Libres del Sud,-35.7319,-57.72,Wikipedia (Estación Libres del Sud),https://es.wikipedia.org/wiki/Estaci%C3%B3n_Libres_del_Sud,"Paraje/estación en partido Chascomús (linda con Lezama)."
v6_p07,180,Vicentini,barrio_de,Puerto Vicentini (barrio de Fontana),-27.4014,-59.0392,Wikimapia/dices.net,http://wikimapia.org/33649922/es/BARRIO-PUERTO-VICENTINI,"Antigua localidad Puerto Vicentini, hoy barrio de Fontana, depto San Fernando."
v6_p04,197,Mal Paso,manual_coord,Mal Paso,-27.7667,-64.3097,Wikipedia (Aeropuerto Mal Paso / Vicecomodoro Aragonés),https://en.wikipedia.org/wiki/Vicecomodoro_%C3%81ngel_de_la_Paz_Aragon%C3%A9s_Airport,"Paraje al NO de la ciudad de Santiago del Estero (depto Capital); coordenada del aeródromo homónimo 'Mal Paso'."
v3_p11,642,José M. Micheo,rename,Estación José María Micheo,-35.8816,-59.9466,Wikipedia (Estación José María Micheo),https://es.wikipedia.org/wiki/Estaci%C3%B3n_Jos%C3%A9_Mar%C3%ADa_Micheo,"Paraje/estación en partido General Alvear."
v3_p07,698,El Arbolito,manual_coord,El Arbolito,-33.9138,-60.9434,Wikipedia (Estación El Arbolito),https://es.wikipedia.org/wiki/Estaci%C3%B3n_El_Arbolito,"Localidad/estación en partido Colón (parte se extiende a Rojas como Villa Manuel Pomar)."
v9_1_2_p04,134,Puerto Coyle,rename,Puerto Coig (Puerto Coyle),-50.9567,-69.2267,Wikipedia (Puerto Coig),https://es.wikipedia.org/wiki/Puerto_Coig,"Ex localidad del depto Güer Aike, también llamada Puerto Coyle."
v4_p05,718,Cruz Chica,manual_coord,Cruz Chica,-30.9667,-64.4833,dices.net,https://www.dices.net/mapas/argentina/mapa.php?nombre=Cruz-Chica&id=33184,"Localidad del Valle de Punilla entre La Cumbre y Los Cocos, depto Punilla."
v4_p15,741,Rumiyaco,sin_coordenada,,,,,,"Paraje en depto Minas (Córdoba) sin coordenada moderna verificable; el 'Rumiyaco' que aparece en buscadores son cabañas en Villa Rumipal (depto Calamuchita), homónimo lejano."
v4_p03,772,Casaffousth,manual_coord,Casaffousth,-31.3667,-64.45,dices.net,https://www.dices.net/mapas/argentina/mapa.php?nombre=Casaffousth&id=29646,"Estación/paraje Casaffousth cerca de Santa María de Punilla, depto Punilla."
