page,n_orden,localidad,tipo_resolucion,propuesta,lat,lon,fuente,fuente_url,nota
v4_p08,34,Jobson,rename,Vera,-29.4667,-60.2167,Wikipedia,https://es.wikipedia.org/wiki/Vera_(Santa_Fe),"Jobson fue uno de los nombres previos de la actual ciudad de Vera (La Curva/Jobson/Jobson Vera/Gobernador Vera/Vera). Pob 9754 coincide con la ciudad cabecera."
v3_p11,113,José M. Blanco,manual_coord,"Tres Lomas (ex Colonia/estación José M. Blanco)",-36.4582,-62.8756,"OSM Nominatim; treslomas.gob.ar",https://www.treslomas.gob.ar/?q=historia,"No existe localidad moderna 'José M. Blanco'. José María Blanco fue el terrateniente que fundó la Colonia Blanco y cedió tierras para la estación Tres Lomas (1906); en 1960 Tres Lomas pertenecía al depto Pellegrini. El nombre sobrevive como calle en Tres Lomas. Coordenada = casco de Tres Lomas (depto_moderno); anclaje aproximado."
v4_p06,146,Empalme V. Constitución,manual_coord,Empalme Villa Constitución,-33.2611,-60.3806,Wikipedia,https://es.wikipedia.org/wiki/Empalme_Villa_Constituci%C3%B3n-Barrio_Mitre,"Comuna Empalme Villa Constitución, depto Constitución, a 5 km de Villa Constitución."
v5_p04,65,Juan B. Arruabarrena,manual_coord,Juan B. Arruabarrena,-30.3394,-58.3019,OSM Nominatim,https://nominatim.openstreetmap.org/,"Paraje en depto Federación (San Jaime de la Frontera / Distrito Tatutí), Entre Ríos."
v4_p19,217,Villa General Mitre,rename,Villa del Totoral,-30.7000,-64.0667,"Wikipedia; Mapcarta",https://mapcarta.com/20011142,"Villa General Mitre fue el nombre original (1862) de la actual Villa del Totoral, depto Totoral."
v8_p03,82,Pampa del Chañar,manual_coord,Pampa del Chañar,-30.1812,-68.6795,OSM Nominatim,https://nominatim.openstreetmap.org/,"Aldea en el valle Jáchal-Niquivil, depto Jáchal, San Juan."
v4_p16,304,San Julián,sin_coordenada,,,,,,"No se halló localidad 'San Julián' vigente en depto San Jerónimo (Santa Fe); no figura en el listado de localidades del depto. Único homónimo = Estancia San Julián en depto Rosario (Funes), lejano y de otro departamento (descartado)."
v3_p05,288,Coronel Mom,rename,Villa Ortiz (Estación Coronel Mom),-34.8414,-60.3061,Wikipedia,https://es.wikipedia.org/wiki/Estaci%C3%B3n_Coronel_Mom,"Localidad Villa Ortiz, conocida por su estación Coronel Mom (FC Sarmiento), partido de Alberti."
v4_p14,382,Pueblo Britos,sin_coordenada,,,,,,"No se localizó 'Pueblo Britos' en depto Rosario (Santa Fe) en Wikipedia, Nominatim ni gacetero. Sin coordenada confiable."
v7_p05,152,Huaco,manual_coord,Huaco,-27.6088,-66.3330,Wikipedia,https://es.wikipedia.org/wiki/Huaco_(Catamarca),"Localidad ~5 km al sur de Andalgalá; sede de la ex Estación Huaco (FC Belgrano), depto Andalgalá."
v5_p04,155,Lib. Gral. San Martín,rename,Libertador San Martín (Puiggari),-32.0730,-60.4644,Wikipedia,https://es.wikipedia.org/wiki/Libertador_San_Mart%C3%ADn,"Ex Aldea Camarero / Puiggari; municipio Libertador San Martín, depto Diamante, Entre Ríos."
v4_p09,492,La Buena Parada,sin_coordenada,,,,,,"No se halló 'La Buena Parada' en depto Río Primero (Córdoba). El homónimo 'Pueblo Buena Parada' está en depto Pichi Mahuida, Río Negro (lejano, otra provincia; descartado)."
v3_p01,459,Aldea Romana,barrio_de,Aldea Romana (Bahía Blanca),-38.6825,-62.2135,OSM Nominatim,https://nominatim.openstreetmap.org/,"Actualmente barrio de la ciudad de Bahía Blanca (Cuartel II), partido de Bahía Blanca."
v5_p04,199,Ingenio 1er. Correntino,manual_coord,Ingenio Primer Correntino,-27.4319,-58.6244,Wikipedia,https://es.wikipedia.org/wiki/Ingenio_Primer_Correntino,"Localidad del depto San Cosme (dependiente de Santa Ana de los Guácaras), Corrientes."
