page,n_orden,localidad,tipo_resolucion,propuesta,lat,lon,fuente,fuente_url,nota
v3_p18,76,Quequén,manual_coord,Quequén,-38.5553,-58.7162,Wikipedia,https://es.wikipedia.org/wiki/Quequ%C3%A9n,"Localidad portuaria; perteneció al partido de Lobería hasta 1979, hoy en Necochea, partido limítrofe de Lobería"
v8_p01,37,Colonia Alvear Oeste,manual_coord,Colonia Alvear Oeste,-35.0,-67.6667,dices.net,https://www.dices.net/mapas/argentina/mapa.php?nombre=&id=31783,"Localidad/estación FC en el depto General Alvear, Mendoza"
v3_p11,158,Juan B. Alberdi,manual_coord,Juan Bautista Alberdi,-34.4333,-61.8,Wikipedia,https://es.wikipedia.org/wiki/Juan_Bautista_Alberdi_(Buenos_Aires),"Localidad del partido Leandro N. Alem, BA (km 340 RN7)"
v8_p02,57,La Bebida,manual_coord,La Bebida,-31.5333,-68.6167,dices.net,https://www.dices.net/mapas/argentina/mapa.php?nombre=La-Bebida&id=44348,"Localidad del depto Rivadavia, Gran San Juan"
v3_p22,215,Villa Numancia,manual_coord,Estación Villa Numancia (Guernica),-34.9219,-58.4012,Wikipedia,https://es.wikipedia.org/wiki/Estaci%C3%B3n_Villa_Numancia,"Estación/barrio de Guernica, hoy partido Presidente Perón"
v8_p03,83,Marquesado,manual_coord,Marquesado,-31.5167,-68.6167,dices.net,https://www.dices.net/mapas/argentina/mapa.php?nombre=Marquesado&id=3859,"Localidad del depto Rivadavia, Gran San Juan"
v3_p15,266,Mariano M. Alfonso,rename,Mariano H. Alfonzo,-33.883,-60.833,Wikipedia,https://en.wikipedia.org/wiki/Mariano_H._Alfonzo,"Estación/localidad del partido Pergamino; estación renombrada Mariano H. Alfonzo en 1945"
v3_p16,290,Otamendi,rename,Ingeniero Otamendi,-34.2342,-58.8642,dices.net,https://www.dices.net/mapas/argentina/mapa.php?nombre=Otamendi&id=42326,"En partido Campana; NO es Comandante Nicanor Otamendi (Gral Alvarado), homónimo lejano de la pista"
v5_p03,122,Gobernador Gral. López,rename,Gobernador López,-27.6663,-55.2135,Wikipedia,https://es.wikipedia.org/wiki/Gobernador_L%C3%B3pez_(Misiones),"Municipio del depto Leandro N. Alem, Misiones"
v5_p05,139,Nueve de Julio,rename,9 de Julio,-26.4301,-54.466,Wikipedia,https://es.wikipedia.org/wiki/9_de_Julio_(Misiones),"Localidad del depto Eldorado, Misiones"
v8_p04,122,Piedra Blanca,barrio_de,Villa de Merlo (barrio Piedra Blanca),-32.32,-65.014,Mapcarta,https://mapcarta.com/N2579934389,"Barrio histórico de Villa de Merlo, depto Junín; coordenada aproximada (~2,5 km al N del centro de Merlo)"
v5_p06,167,Puerto Naranjito,manual_coord,Puerto Naranjito,-26.95,-55.3,dices.net,https://www.dices.net/mapas/argentina/mapa.php?nombre=Puerto-Naranjito&id=10749,"Lugar poblado del depto San Ignacio, Misiones"
v4_p04,541,Colonia O'Higgins,rename,Capitán General Bernardo O'Higgins,-33.25,-62.2667,Wikipedia,https://es.wikipedia.org/wiki/Capit%C3%A1n_General_Bernardo_O'Higgins,"Depto Marcos Juárez, Córdoba; fundada 1893 como Colonia Progreso"
v3_p22,489,Villa Nueva,rename,Villanueva (Estación Villanueva),-35.6789,-58.4353,Wikipedia,https://es.wikipedia.org/wiki/Estaci%C3%B3n_Villanueva,"Localidad/estación del partido General Paz, BA"
v6_p02,162,El Malacara,manual_coord,El Malacara,-28.4333,-62.5167,dices.net,https://www.dices.net/mapas/argentina/mapa.php?nombre=El-Malacara&id=36291,"Localidad del depto General Taboada, Santiago del Estero"
v8_p02,143,Hipólito Irigoyen,manual_coord,Hipólito Yrigoyen,-32.9167,-66.3333,getamap,https://www.getamap.net/maps/argentina/san_luis/_hipolitoirigoyen/,"Localidad del depto Belgrano, San Luis"
