page,n_orden,localidad,tipo_resolucion,propuesta,lat,lon,fuente,fuente_url,nota
v7_p11,20,Villa Alberdi,rename,Juan Bautista Alberdi,-27.5861,-65.6197,Wikipedia,https://es.wikipedia.org/wiki/Juan_Bautista_Alberdi_(Tucum%C3%A1n),"Ciudad denominada originalmente Villa Alberdi; hoy Juan Bautista Alberdi, cabecera del depto homonimo (depto 1960 Rio Chico)"
v4_p03,124,Cañada Verde,rename,Villa Huidobro,-34.8403,-64.5867,Wikipedia,https://es.wikipedia.org/wiki/Villa_Huidobro,"Poblacion llamada Cañada Verde erigida en villa como Villa Huidobro en 1904; cabecera depto General Roca, Cordoba"
v4_p01,168,Alto Verde,barrio_de,Barrio Alto Verde (Santa Fe capital),-31.6613,-60.6986,Wikimapia/dices.net,https://www.dices.net/mapas/argentina/mapa.php?nombre=Alto-Verde&id=24458,"Barrio de la ciudad de Santa Fe sobre Isla Sirgadero, depto La Capital"
v4_p07,192,Froilán Palacios,manual_coord,Froilán Palacios,-32.6667,-61.1000,SIPAR Archivo Historico / Mapcarta,https://mapcarta.com/20056348,"Localidad del depto Iriondo (Municipio Salto Grande); traza aprobada 1891 en km 373 del FC Cordoba-Rosario"
v5_p05,80,Miguel Lanús,barrio_de,Barrio Miguel Lanús (Posadas),-27.4292,-55.8797,Wikimapia,http://wikimapia.org/9166957/es/Barrio-Miguel-Lan%C3%BAs,"Antigua Villa Lanus, hoy barrio del sur de Posadas, depto Capital, Misiones"
v7_p09,98,San Antonio de la Paz,manual_coord,San Antonio de La Paz,-28.9330,-65.1000,Wikipedia (EN),https://en.wikipedia.org/wiki/San_Antonio_de_La_Paz,"Pueblo del depto La Paz, Catamarca"
v4_p12,317,Médanos de las Cañas,sin_coordenada,,,,,,"No localizado con confianza en depto Union (Cordoba); sin registro en Georef ni OSM/Nominatim; no se arriesga coordenada"
v7_p07,125,Monte Rico,rename,Monterrico,-24.4428,-65.1661,Wikipedia,https://en.wikipedia.org/wiki/Monterrico,"Monte Rico = Monterrico, municipio del depto El Carmen, Jujuy"
v7_p09,140,San José de Fray Mamerto Esquiú,rename,San José de Piedra Blanca,-28.3667,-65.7000,Wikipedia,https://es.wikipedia.org/wiki/San_Jos%C3%A9_de_Piedra_Blanca,"San Jose (de Piedra Blanca), cabecera del depto Fray Mamerto Esquiu, Catamarca"
v7_p07,155,Manantial,manual_coord,El Manantial,-26.8442,-65.2900,Wikipedia,https://es.wikipedia.org/wiki/El_Manantial_(Tucum%C3%A1n),"El Manantial, hoy en depto Lules (surgido del antiguo depto Tafi), conurbado y lindante con Yerba Buena (depto moderno listado)"
v4_p07,475,Gobernador Candioti,manual_coord,Gobernador Candioti,-31.4008,-60.7485,Wikipedia,https://es.wikipedia.org/wiki/Gobernador_Candioti,"Comuna del depto La Capital, Santa Fe, km 495 RN11"
v6_p03,132,Km. 100 Nav. Río Bermejo,sin_coordenada,,,,,,"Marcador de km 100 de la navegacion del Rio Bermejo en depto Laishi (Formosa); punto fluvial de campamento no identificable con confianza; sin coordenada"
v4_p17,556,Tala Norte,manual_coord,Estación Tala Norte,-31.1148,-63.6014,OpenStreetMap/Nominatim,https://nominatim.openstreetmap.org/,"Estacion Tala Norte, paraje El Alcalde, Pedania Tala, depto Rio Primero, Cordoba"
v3_p22,496,Villa Harding Green,barrio_de,Villa Harding Green (Bahía Blanca),-38.7211,-62.1958,Wikipedia,https://es.wikipedia.org/wiki/Villa_Harding_Green,"Localidad separada hasta censo 1991, hoy barrio del NE de Bahia Blanca"
v5_p04,209,La Capilla,sin_coordenada,,,,,,"Registro de localidad en depto Villaguay (obraspublicas) pero sin coordenada accesible; homonimos La Capilla en depto Gualeguaychu (lejos) descartados; sin coordenada"
v3_p08,558,Enrique Lavalle,manual_coord,Enrique Lavalle,-36.4094,-61.9339,Wikipedia,https://es.wikipedia.org/wiki/Enrique_Lavalle,"Paraje con Estacion Enrique Lavalle (FC Midland); hoy en partido Daireaux, sobre el limite con el partido Hipolito Yrigoyen (depto 1960)"
v4_p19,633,V. Rosario del Saladillo,manual_coord,Villa Rosario del Saladillo,-30.4311,-63.4731,Wikipedia,https://es.wikipedia.org/wiki/Rosario_del_Saladillo,"Rosario del Saladillo (Villa), depto Tulumba, Cordoba"
v9_1_2_p01,116,Centro Río Mayo,manual_coord,Río Mayo,-45.6869,-70.2600,Wikipedia,https://es.wikipedia.org/wiki/R%C3%ADo_Mayo_(ciudad),"Centro de la ciudad de Rio Mayo, depto Rio Senguer, Chubut"
v7_p10,330,Tala Pampa,rename,Talapampa,-25.5450,-65.5570,Georef (INDEC/datos.gob.ar),https://apis.datos.gob.ar/georef/api/localidades-censales?nombre=Talapampa,"Tala Pampa = Talapampa, localidad del depto La Viña, Salta"
v7_p07,344,Osma,manual_coord,Osma,-25.2009,-65.4888,OpenStreetMap/Nominatim,https://nominatim.openstreetmap.org/,"Aldea Osma (antiguo Embarcadero Osma del FC Belgrano C-13), depto La Viña, Salta"
v6_p06,246,Puna,manual_coord,Puna,-27.7981,-62.5224,OpenStreetMap/Nominatim,https://nominatim.openstreetmap.org/,"Puna (antigua estacion FC Belgrano ramal C4), depto Moreno, Santiago del Estero; NO confundir con La Punta del depto Choya (homonimo lejano de la pista)"
v3_p12,820,Kilómetro 125,rename,Estación La Valerosa,-34.5525,-59.5328,Wikipedia,https://es.wikipedia.org/wiki/Estaci%C3%B3n_La_Valerosa,"Estacion cuyo nombre original era Kilometro 125, renombrada La Valerosa, partido San Andres de Giles, Buenos Aires"
v9_1_2_p05,147,Yacimiento Petrolífero Solano,manual_coord,Bahía Solano (yacimiento petrolífero),-45.6697,-67.3336,Wikipedia,https://es.wikipedia.org/wiki/Bah%C3%ADa_Solano_(Chubut),"Campamento/yacimiento petrolifero de Bahia Solano (YPF), depto Escalante, ~25 km al N de Comodoro Rivadavia, Chubut"
