page,n_orden,localidad,tipo_resolucion,propuesta,lat,lon,fuente,fuente_url,nota
v4_p13,30,Posta de San Martín,sin_coordenada,,,,,,"Sin match confiable en Rosario; pob 10152 sugiere distrito/barrio de la ciudad de Rosario, no localizable como localidad puntual. No confundir con Posta del Rosario de los Arroyos (plazoleta)."
v8_p01,30,Bermejito,manual_coord,Bermejito,-31.5122,-68.5031,osm,"https://nominatim.openstreetmap.org/search?q=Bermejito,+Santa+Lucia,+San+Juan,+Argentina","Barrio/aldea Bermejito en depto Santa Lucía (San Juan). NO es el homónimo Bermejo/Caucete de la pista."
v3_p11,147,Jáuregui,rename,José María Jáuregui (Villa Flandria),-34.6000,-59.1670,wikipedia,https://es.wikipedia.org/wiki/Jos%C3%A9_Mar%C3%ADa_J%C3%A1uregui,"Localidad de Luján, llamada Villa Flandria 1978-1990s; hoy José María Jáuregui."
v7_p05,67,La Madrid,manual_coord,La Madrid (Lamadrid),-27.6833,-65.2000,wikipedia,https://es.wikipedia.org/wiki/La_Madrid_(Tucum%C3%A1n),"Depto Graneros, Tucumán; también escrito Lamadrid. Coord 27°41'S 65°12'W."
v4_p08,207,Jesús María,manual_coord,"Jesús María (paraje, Timbúes)",-32.6718,-60.7835,osm,"https://nominatim.openstreetmap.org/search?q=Jesus+Maria,+San+Lorenzo,+Santa+Fe,+Argentina","Paraje/colonia Jesús María en depto San Lorenzo cerca de Timbúes. Confianza media (OSM solo registra vías con ese nombre en el sitio)."
v4_p16,275,S. Martín de las Escobas,manual_coord,San Martín de las Escobas,-31.8578,-61.5760,wikipedia,https://es.wikipedia.org/wiki/San_Mart%C3%ADn_de_las_Escobas,"Comuna en depto San Martín (Santa Fe), km 152 RN34."
v5_p03,89,Gobernador J.E. Martínez,rename,Gobernador Juan E. Martínez,-28.9125,-58.9361,wikipedia,https://es.wikipedia.org/wiki/Gobernador_Juan_E._Mart%C3%ADnez,"Localidad de depto Lavalle (Corrientes); ex Yatay/Pueblo Arroyo Juárez."
v8_p04,97,Rodolfo Iselin (La Llave),manual_coord,La Llave (Rodolfo Iselín),-34.6399,-67.9780,gazetteer,"https://provinciademendoza.ar/MENU=Municipios&NMUN=San%20Rafael&INFO=Localidad&NLOC=Rodolfo%20Isel%C3%ADn","Distrito La Llave, depto San Rafael; nombre oficial Rodolfo Iselín (1953). Coord del sitio oficial de la Provincia de Mendoza."
v7_p11,138,Villa Nva. de Monte Rico,manual_coord,Monte Rico,-27.3835,-65.6272,osm,"https://nominatim.openstreetmap.org/search?q=Monte+Rico,+Chicligasta,+Tucuman,+Argentina","Aldea Monte Rico en depto Chicligasta, cerca de Concepción."
v7_p02,151,Cevil Pozo,manual_coord,Cevil Pozo,-26.8553,-65.1256,wikipedia,https://es.wikipedia.org/wiki/Estaci%C3%B3n_Cevil_Pozo,"Estación/localidad en Banda del Río Salí, depto Cruz Alta (Tucumán). Coord 26°51'19\"\"S 65°07'32\"\"W."
